Ticker,Price,ATR%,Avg_Dollar_Vol_M,Weekly_Vol_Ann,Max_Drawdown
NVDA,182.41,3.93,32310.9,46.8,-36.9
MARA,11.74,7.73,756.9,70.6,-59.1
AMD,217.97,5.65,7611.1,57.4,-40.2
SOXL,46.5,8.43,2738.6,102.0,-76.5
MSTR,178.99,8.53,5046.8,58.9,-62.6
META,673.42,2.55,10028.1,36.8,-34.2
AMZN,229.53,2.54,9602.0,30.3,-30.9
DELL,138.91,4.63,835.9,51.8,-42.3
VRT,189.02,5.46,1007.0,61.3,-61.3
SMH,364.42,2.99,2106.8,33.8,-32.6
AVGO,390.24,4.4,6879.8,50.4,-41.1
APP,691.94,4.71,2832.6,81.0,-57.0
CRWD,512.03,3.93,1460.1,43.4,-32.2
PLTR,181.76,4.34,9964.1,70.8,-40.6
ARM,141.31,3.69,725.2,57.8,-52.3
MSFT,483.16,2.21,10095.8,24.0,-21.8
GOOGL,321.27,3.56,7411.2,32.2,-29.8
NFLX,100.24,4.01,4244.7,35.6,-25.1
ADBE,346.26,2.58,1556.4,29.8,-43.2
INTC,41.41,5.15,2586.2,62.0,-33.8
QCOM,174.81,2.65,1368.9,34.5,-28.7
TXN,182.54,2.96,1292.2,36.7,-29.6
MU,237.22,6.3,3068.1,64.5,-40.8
TSM,294.72,3.09,3060.2,33.5,-36.8
CRWV,88.3,7.74,2651.4,127.6,-62.3
WDC,168.89,6.22,631.9,60.9,-43.9
NET,200.95,4.24,533.4,54.2,-45.0
GS,854.56,2.44,1488.2,31.7,-30.9
FSLR,257.61,4.02,566.8,56.7,-40.7
UAL,104.95,3.91,629.4,46.4,-49.2
EBAY,82.47,2.21,422.5,34.4,-20.3
MS,176.51,2.35,837.9,31.8,-29.2
C,108.88,2.44,1197.5,35.0,-31.3
SHOP,161.08,4.25,1127.4,62.0,-40.5
PINS,26.75,3.17,378.8,47.2,-39.5
UBER,91.32,3.0,1720.1,35.5,-20.7
BURL,271.78,4.9,279.2,37.8,-27.0
ZS,242.68,4.66,498.9,38.0,-28.1
IBM,307.94,2.39,1235.8,28.4,-19.8
AAL,14.81,3.52,722.4,46.7,-51.4
EQT,60.68,3.73,424.5,35.6,-18.4
MPWR,963.28,3.82,526.7,45.2,-36.6
MDB,409.62,4.86,609.4,70.4,-58.3
AMAT,268.0,3.83,1366.9,42.1,-34.9
HLT,272.25,2.14,472.3,25.5,-26.4
SCHW,93.82,2.06,815.6,25.1,-17.2
T,25.28,1.78,1021.1,18.3,-16.6
CME,270.87,2.03,571.3,15.7,-10.1
APO,138.13,2.62,576.8,42.3,-39.0
ETN,337.66,3.22,908.3,32.4,-33.4
RBLX,96.28,4.32,761.4,47.1,-37.0
BLK,1072.16,2.12,719.6,26.7,-23.7
PM,147.81,2.4,940.3,26.8,-20.6
DE,475.11,2.47,645.7,25.2,-18.6
MCHP,65.81,3.82,551.7,59.2,-44.6
MDT,101.36,2.13,654.8,21.2,-13.9
ADI,281.29,2.98,840.5,39.5,-32.2
KMI,27.77,1.86,379.0,23.6,-18.4
DHR,226.25,2.1,844.6,33.9,-30.2
TJX,153.28,1.96,686.1,17.2,-11.0
WFC,89.83,2.22,1237.2,31.8,-24.7
TSLA,455.0,3.56,34153.3,50.5,-53.8
TQQQ,56.15,4.96,5543.3,63.9,-58.0
COIN,269.73,5.94,3107.1,76.5,-52.0
SQ,,,,,
PYPL,62.28,2.86,863.2,34.6,-37.5
CIFR,19.28,10.04,292.5,124.4,-71.6
IREN,44.71,11.65,754.1,97.3,-63.5
MRVL,98.91,5.44,1516.6,59.4,-60.8
TER,200.77,4.2,394.9,56.6,-51.4
ORCL,217.58,5.01,3518.1,53.7,-39.9
FIX,1001.48,4.64,254.8,56.5,-46.0
CLH,237.36,2.78,100.3,25.5,-27.7
BMY,52.15,2.56,676.3,27.9,-29.9
CMCSA,27.31,2.23,837.6,22.4,-31.8
RKT,19.03,5.01,317.5,57.5,-27.9
DLTR,122.44,3.73,371.3,32.2,-27.4
BA,201.89,3.01,1665.0,41.9,-26.7
