symbol,beta,atr_pct,dollar_vol,close
SOXL,5.419361967877952,10.560359737115185,74255874.38725,41.3
TQQQ,4.573776357133176,15.27032685211839,80202416.0555,54.59
BE,3.7652265976100785,12.941707379284631,49945267.296749994,109.215
CIFR,3.165095006109068,10.124605124605125,27032106.4855,20.35
CLS,3.0630259646247895,7.353545287058704,44616833.7025,344.28
QBTS,3.0573592052307155,10.354618879353863,29728569.54125,22.64
U,2.461321353184598,5.80735116247816,21864471.595,42.52
CRWV,2.2440046527902813,10.327293351456536,61895221.051750004,73.045
MRVL,2.198314506822842,5.594126247333561,58295087.05025001,89.405
VRT,2.127125054911913,6.32121983221343,55594096.401750006,179.65
TSLA,2.1063966913674,4.652139834871041,520984563.28675,430.14
WDC,2.083182297489496,6.640587417235923,58894762.312,163.33
ARM,1.9640294713228947,4.831173619890432,24855461.05725,135.6
INTC,1.8294057813186075,4.388836096153172,102707322.55125,40.59
XPEV,1.7908028380177843,6.879458150644589,20772498.01575,21.83
AVGO,1.7840340286341694,4.272864232541649,229792129.521,403.0
SMH,1.6852594342706968,3.525425377550441,126930978.62749998,352.46
NET,1.6786537834538173,4.687199127067328,36954695.128000006,200.31
GEV,1.5591683924121746,5.08586155866253,71903174.71650001,599.47
APP,1.5220046312275815,5.890318212593091,101653184.93349999,599.24
TSM,1.5024760484593638,3.277300835954881,127583771.50350001,291.54
