atr_mult_sl,take_profit_r,rsi_oversold,Net PnL,Win Rate,Trades
1.0,1.5,20,592.1700000000001,52.30461538461538,130
1.0,1.5,25,1490.67,50.87268170426065,399
1.0,1.5,30,1295.93,45.0771567436209,823
1.0,2.0,20,696.86,48.45923076923077,130
1.0,2.0,25,1562.1200000000001,46.83848101265823,395
1.0,2.0,30,1419.89,41.075405742821474,801
1.0,2.5,20,694.73,42.30615384615384,130
1.0,2.5,25,1542.77,43.01246819338423,393
1.0,2.5,30,1430.18,38.72936708860759,790
1.0,3.0,20,638.95,39.99923076923077,130
1.0,3.0,25,1355.52,41.233333333333334,393
1.0,3.0,30,1251.41,37.78384223918575,786
1.5,1.5,20,758.89,65.78771929824562,114
1.5,1.5,25,1536.69,60.86342857142858,350
1.5,1.5,30,1214.9,53.73684210526316,722
1.5,2.0,20,748.0600000000001,58.77192982456141,114
1.5,2.0,25,1495.35,55.75488505747127,348
1.5,2.0,30,1318.91,49.34892086330935,695
1.5,2.5,20,637.66,50.873684210526314,114
1.5,2.5,25,1433.08,51.586743515850145,347
1.5,2.5,30,1204.67,46.86729927007299,685
1.5,3.0,20,552.6,49.123684210526314,114
1.5,3.0,25,1205.56,49.85475504322767,347
1.5,3.0,30,989.78,46.034558823529416,680
2.0,1.5,20,677.26,68.8091743119266,109
2.0,1.5,25,1375.8,64.7370820668693,329
2.0,1.5,30,685.28,59.386153846153846,650
2.0,2.0,20,670.46,62.387155963302746,109
2.0,2.0,25,1376.91,60.37461300309598,323
2.0,2.0,30,923.84,55.88836833602585,619
2.0,2.5,20,534.39,54.126605504587154,109
2.0,2.5,25,1352.84,56.563125,320
2.0,2.5,30,828.73,53.69868204283361,607
2.0,3.0,20,499.96,53.21009174311927,109
2.0,3.0,25,1127.31,54.857366771159874,319
2.0,3.0,30,618.15,52.73594009983361,601
2.5,1.5,20,610.78,72.11538461538461,104
2.5,1.5,25,1486.47,68.74407894736842,304
2.5,1.5,30,764.53,62.7776649746193,591
2.5,2.0,20,575.34,65.38461538461539,104
2.5,2.0,25,1429.05,64.66166666666668,300
2.5,2.0,30,909.9,59.57854609929078,564
2.5,2.5,20,445.09999999999997,56.72884615384615,104
2.5,2.5,25,1332.3799999999999,60.60505050505051,297
2.5,2.5,30,711.61,57.01183970856102,549
2.5,3.0,20,403.0,55.76826923076923,104
2.5,3.0,25,1090.8600000000001,59.12297297297297,296
2.5,3.0,30,488.09999999999997,56.09151291512916,542
